ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key
49627,C7H9N3,secondary,N#C[C@@H]1CCC[C@H](C#N)N1,9,base,pKAH1,1.35,chembl,YIUPHEPARZCBPW-KNVOCYPGSA-N
111195,C7H11NO4,tertiary,COC(=O)CN1CC1C(=O)OC,5,base,pKAH1,1.01,chembl,HMYWTXJDSDVOFH-UHFFFAOYSA-N
3438,C9H14N4O,tertiary,CC(C)(N1CC1C#N)N1CC1C(N)=O,3,base,pKAH1,1.59,chembl,RPZOFMHRRHHDPZ-UHFFFAOYSA-N
122390,C12H14N6O2,tertiary,Cn1c(=O)c2c(nc3n2CCN(CC#N)C3)n(C)c1=O,8,base,pKAH1,1.31,chembl,COFGPVTTZHNCPH-UHFFFAOYSA-N
66028,C7H9N3,secondary,N#C[C@@H]1CCC[C@@H](C#N)N1,9,base,pKAH1,1.35,chembl,YIUPHEPARZCBPW-BQBZGAKWSA-N
75500,C13H15NO4,tertiary,COC(=O)C1CN1CC(=O)OCc1ccccc1,6,base,pKAH1,0.87,chembl,PCIUUICNOBVGMX-UHFFFAOYSA-N
73284,C11H11NO3,tertiary,O=C1CN(Cc2ccc3c(c2)OCO3)C1,3,base,pKAH1,1.39,chembl,QEWSMHSOCJVHMK-UHFFFAOYSA-N
118204,C8H13NO4,tertiary,COC(=O)C1CN1[C@@H](C)C(=O)OC,6,base,pKAH1,1.3,chembl,FXMLKVDNSKCHDD-YXDJQVONSA-N
37372,C9H12N4O,primary,CC1=CN(C)C2=NC(N)NC(=O)C2=C1,6,base,pKAH1,2.21,chembl,BVYZVVHRQPDCLG-UHFFFAOYSA-N
67312,C9H12N4O,primary,CC1=CC=C2C(=O)NC(N)N=C2N1C,10,base,pKAH1,2.19,chembl,QORTUZFRDCQSSV-UHFFFAOYSA-N
42536,C13H16N2O3,tertiary,COc1cc(C(C#N)N2CCOCC2)ccc1O,8,base,pKAH1,2.5,chembl,UKWYKUCFKZLTCY-UHFFFAOYSA-N
95593,C10H17NO4,tertiary,COC(=O)C1CN1[C@H](C(=O)OC)C(C)C,6,base,pKAH1,1.91,chembl,BCTWIURBSTWDKB-KAIZJQOQSA-N
1231,C9H12N4O,primary,CC1=C2C(=O)NC(N)N=C2N(C)C=C1,8,base,pKAH1,2.19,chembl,SAKRAQLCQWKSKE-UHFFFAOYSA-N
53476,C9H15NO4,secondary,COC(=O)[C@@H]1CCC[C@H](C(=O)OC)N1,13,base,pKAH1,2.8,chembl,DTBPRDQEECCDNY-KNVOCYPGSA-N
74390,C11H14N4O4,tertiary,O=C1CN([C@@H]2C[C@@H]2N2CC(=O)NC(=O)C2)CC(=O)N1,3,base,pKAH1,2.62,chembl,CJRYCXUDTLRXOJ-KNVOCYPGSA-N
82018,C8H10N4O,primary,CN1C=CC=C2C(=O)NC(N)N=C21,11,base,pKAH1,2.16,chembl,FGVRTYRQFSJVAF-UHFFFAOYSA-N
57413,C13H19N7O4,tertiary,COC(=O)c1ncn(CN(Cn2cnc(C(=O)OC)n2)C(C)C)n1,5,base,pKAH1,2.37,chembl,NMIOIIYPQQQIBC-UHFFFAOYSA-N
114425,C11H19N7O,tertiary,Cn1cnc(CN(CCCO)Cc2ncn(C)n2)n1,3,base,pKAH1,2.71,chembl,CVIOFMUJYLDOTE-UHFFFAOYSA-N
3772,C10H14N4O,primary,CC(C)N1C=CC=C2C(=O)NC(N)N=C21,3,base,pKAH1,2.23,chembl,UYEHZVYJLCINRQ-UHFFFAOYSA-N
15369,C10H14N4O,primary,CCN1C=C(C)C=C2C(=O)NC(N)N=C21,2,base,pKAH1,2.24,chembl,NENPVXRQJYZLBI-UHFFFAOYSA-N
18404,C11H16N4O,primary,CCCN1C=C(C)C=C2C(=O)NC(N)N=C21,3,base,pKAH1,2.28,chembl,AHWADGOGVAPUSM-UHFFFAOYSA-N
6448,C9H12N4O,primary,CCN1C=CC=C2C(=O)NC(N)N=C21,2,base,pKAH1,2.2,chembl,FVWLPLVHCKQEFU-UHFFFAOYSA-N
71783,C13H20N4O,primary,CC1=C2C(=O)NC(N)N=C2N(CCC(C)C)C=C1,10,base,pKAH1,2.33,chembl,NAWLBWMUPRTSGE-UHFFFAOYSA-N
108829,C11H16N4O,primary,CC(C)CN1C=CC=C2C(=O)NC(N)N=C21,4,base,pKAH1,2.29,chembl,UTLUAUJSXNWJNN-UHFFFAOYSA-N
