,precision,recall,f1-score,support
0,0.6909413854351687,0.9798488664987406,0.8104166666666667,397.0
1,0.9653679653679653,0.5617128463476071,0.7101910828025477,397.0
accuracy,0.7707808564231738,0.7707808564231738,0.7707808564231738,0.7707808564231738
macro avg,0.828154675401567,0.7707808564231738,0.7603038747346071,794.0
weighted avg,0.8281546754015671,0.7707808564231738,0.7603038747346071,794.0
