ChEMBL ID,Name,Molecular Weight,CX Acidic pKa,CX Basic pKa,Aromatic Rings,Molecular Species,Molecular Formula,Smiles,Inchi Key,Amine Class
CHEMBL320116,,193.2,12.84,7.6,0.0,NEUTRAL,C7H15NO5,OCC1NC(CO)[C@H](O)[C@@H](O)[C@@H]1O,CLVUFWXGNIFGNC-YGDHRDKVSA-N,secondary
CHEMBL441092,,163.22,10.53,9.83,1.0,BASE,C10H13NO,NC1CCc2c(O)cccc2C1,AUBNLLGXUCCYFZ-UHFFFAOYSA-N,primary
CHEMBL1783094,,99.14,,11.33,0.0,BASE,C4H9N3,N=C(N)[C@H]1CCN1,JQAXMIRHPUQOBI-GSVOUGTGSA-N,secondary
CHEMBL4536092,,128.22,,10.3,0.0,BASE,C7H16N2,CN1CCC(CN)CC1,AGTPSAZJSOQXHJ-UHFFFAOYSA-N,primary
CHEMBL423807,,191.27,10.35,9.1,1.0,BASE,C12H17NO,CN(C)[C@H]1CCc2cccc(O)c2C1,KTJZAXFDNXGQDU-JTQLQIEISA-N,tertiary
CHEMBL4095721,,244.29,13.2,8.67,0.0,BASE,C11H20N2O4,O=C(NC[C@@H]1N[C@H](CO)[C@H](O)[C@@H]1O)C1CCC1,WSSDJXBCKKUKFT-JLIMGVALSA-N,secondary
CHEMBL1199970,,178.23,,10.01,1.0,BASE,C10H14N2O,NCCCCC(=O)c1cccnc1,GSEJHUSUJYZWBW-UHFFFAOYSA-N,primary
CHEMBL22463,,101.15,,9.75,0.0,BASE,C5H11NO,OC1CCCNC1,BIWOSRSKDCZIFM-UHFFFAOYSA-N,secondary
CHEMBL1085287,,191.23,,7.5,1.0,NEUTRAL,C11H13NO2,c1cc2c(cc1CN1CCC1)OCO2,PKSBEWPETZHFKV-UHFFFAOYSA-N,tertiary
CHEMBL73036,,150.22,,10.09,1.0,BASE,C9H14N2,CC(N)Cc1ccc(N)cc1,UXAZIFYAGDKABZ-UHFFFAOYSA-N,primary
CHEMBL23040,,197.23,9.76,8.94,1.0,BASE,C10H15NO3,CN[C@@H](C)[C@H](O)c1ccc(O)c(O)c1,DDBFLXGTCAVAFD-WKEGUHRASA-N,secondary
CHEMBL2314500,,246.32,13.44,8.68,2.0,BASE,C12H18N6,CN1CCCN(c2nc(N)nc3[nH]ccc23)CC1,SUCQRXUPCXTVSO-UHFFFAOYSA-N,tertiary
