ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key,MLa_Prediction,MLb_Prediction
1317,C12H15N3,primary,Cc1n[nH]cc1-c1ccc(CCN)cc1,12,base,pKAH1,9.77,chembl,ILTOXASLQDKYJW-UHFFFAOYSA-N,9.68767126119331,9.673352806067776
1333,C7H10N2,primary,NCCc1ccncc1,0,base,pKAH1,9.74,chembl,IDLHTECVNDEOIY-UHFFFAOYSA-N,9.571971290548145,9.51211488616205
1347,C9H11NO2,secondary,Oc1cc2c(cc1O)CNCC2,9,base,pKAH1,8.44,chembl,MBFUSGLXKQWVDW-UHFFFAOYSA-N,9.025881725221103,9.076708497737155
1367,C9H15NO3,primary,C#CCO[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,7,base,pKAH1,9.65,chembl,IKBVKYPYCBJDFE-RBXMUDONSA-N,8.15027126531363,8.60283160299888
1386,C9H12N2,secondary,c1cncc(C2CCCN2)c1,9,base,pKAH1,9.92,chembl,MYKUKUCHPMASKF-UHFFFAOYSA-N,8.98235839226353,8.976072146779995
1406,C13H22N2O3,primary,C=CC(N)CCC(=O)N1CCC(C(=O)OC)CC1,3,base,pKAH1,9.68,chembl,QIRUJVYGLHYPSW-UHFFFAOYSA-N,8.013105995651767,8.540009938065335
1416,C12H29N3,secondary,CNCCCCCNCCCCCNC,7,base,pKAH1,11.1,chembl,CQPPTKPCYJLWNF-UHFFFAOYSA-N,10.593240195720327,10.5366291024718
1446,C12H23NO4,tertiary,CC(O)CC[C@@H]1CC[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)N12,16,base,pKAH1,9.43,chembl,CGZUVSCEWJVPBT-LVZGIILASA-N,8.386704846284148,8.62180757807613
1470,C12H17N,tertiary,Cc1ccccc1C1CCCN1C,11,base,pKAH1,9.72,chembl,JRZMWCKLABIBLI-UHFFFAOYSA-N,9.274491750805703,9.46287978345195
1503,C13H19NO2,primary,COc1cc(CCN)c(OC)c2c1CCC2,7,base,pKAH1,9.71,chembl,DUYSKWSFDDDWQI-UHFFFAOYSA-N,9.937382389780089,9.896116232696516
1550,C9H10N4O4,primary,NC(Cc1c(O)noc1-c1ncc[nH]1)C(=O)O,0,base,pKAH1,7.14,chembl,MJVXTLMESKYRAU-UHFFFAOYSA-N,7.639632516062529,7.791903996091854
1554,C8H11NO2,primary,NC[C@H](O)c1ccc(O)cc1,0,base,pKAH1,8.98,chembl,QHGUCRYDKWKLMG-QMMMGPOBSA-N,8.601997169912508,8.579917687236351
1560,C6H16N2,primary,CN(C)CCCCN,7,base,pKAH1,10.35,chembl,GCOWZPRIMFGIDQ-UHFFFAOYSA-N,10.463823500816803,10.313202942873277
1574,C12H15NO3,secondary,CNC(C)C(=O)c1ccc2c(c1)OCCO2,1,base,pKAH1,7.97,chembl,MRFMNGZRIIBJTB-UHFFFAOYSA-N,7.884737343170294,8.540486549100702
1576,C10H17N,primary,CC12CC3CC1(C)CC3(N)C2,9,base,pKAH1,10.75,chembl,WIXUOPRFBHHKGW-UHFFFAOYSA-N,10.459532602038102,10.444522302777635
1605,C13H15N5,secondary,c1cc2c(ncc3ncn(C4CCNCC4)c32)[nH]1,13,base,pKAH1,10.13,chembl,VTICMARMQUNXBS-UHFFFAOYSA-N,9.29611594591896,9.372088976865212
