ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key,MLa_Prediction,MLb_Prediction
345,C10H14N2O,primary,C[C@@H](N)C(=O)NCc1ccccc1,2,base,pKAH1,8.39,chembl,VRHPVAHXPQMOJZ-MRVPVSSYSA-N,8.411171274594459,8.575687687378345
348,C7H15NO2,tertiary,CC1OCC(CN(C)C)O1,6,base,pKAH1,8.51,chembl,KHUCQBZVGWVHNJ-UHFFFAOYSA-N,8.395110479222874,8.514856385643165
355,C13H15N7,tertiary,CN1CCN(c2nc3ncccc3n3cnnc23)CC1,1,base,pKAH1,7.42,chembl,YVRBEXPZVHWNLE-UHFFFAOYSA-N,8.32166102698555,8.776230106042998
357,C11H18N2O,secondary,O=C(C1CCCC1)N1CC2CC(C1)N2,13,base,pKAH1,9.13,chembl,JWEOQIUDCVEFPL-UHFFFAOYSA-N,9.54308847451855,9.557727256425386
368,C11H11N3O2,secondary,Oc1nc2ccc3c(c2nc1O)CCNC3,14,base,pKAH1,8.86,chembl,SIAMYJHXBZULSQ-UHFFFAOYSA-N,9.068900222563895,8.987118296449987
376,C12H25NO5,secondary,C1COCCOCCOCCOCCOCCN1,17,base,pKAH1,9.08,chembl,NBXKUSNBCPPKRA-UHFFFAOYSA-N,8.704696122292601,8.694118472423527
395,C11H14N4,secondary,c1ccc2[nH]c(N3CCNCC3)nc2c1,9,base,pKAH1,8.84,chembl,NZXGDKLTTHIYTB-UHFFFAOYSA-N,8.820658813702437,8.717460118879991
398,C8H17N3O2,secondary,NC(=O)C(CCO)N1CCNCC1,10,base,pKAH1,8.92,chembl,MTMLZDTYEUFDOY-UHFFFAOYSA-N,9.618087340112098,9.693957059652043
405,C11H15N3O,primary,NCc1ccc(N2CCNC(=O)C2)cc1,0,base,pKAH1,9.41,chembl,HHTYQKRMCZUXLU-UHFFFAOYSA-N,9.632282660346362,9.674574784786794
407,C9H13N,secondary,CNCCc1ccccc1,1,base,pKAH1,10.13,chembl,SASNBVQSOZSTPD-UHFFFAOYSA-N,9.712184198118756,9.678617006020009
418,C9H14N2O,secondary,CNCCOc1ccc(C)nc1,1,base,pKAH1,9.48,chembl,KBXQNMZLSJVCHO-UHFFFAOYSA-N,9.281086536187741,9.203599873885553
431,C12H19NO3,secondary,CNCCc1cc(OC)c(OC)c(OC)c1,1,base,pKAH1,10.03,chembl,OTXANOLOOUNVSR-UHFFFAOYSA-N,9.439716739139888,9.481998626231114
442,C10H13NO3,primary,COc1c(CCN)ccc2c1OCO2,6,base,pKAH1,9.71,chembl,AXEJSBWWIHAWJM-UHFFFAOYSA-N,9.811540577707028,9.7832254729629
450,C10H13N,secondary,c1ccc(C2CCNC2)cc1,7,base,pKAH1,10.99,chembl,PRRFFTYUBPGHLE-UHFFFAOYSA-N,9.735013278460613,9.7910835756081
451,C11H20N2O,primary,CN(C)Cc1ccc(CCCCN)o1,1,base,pKAH1,10.21,chembl,QWPCWVKOWZSMMU-UHFFFAOYSA-N,10.165885822895474,10.153261286367886
469,C12H18N4O4,tertiary,O=c1[nH]cnc2c(CN(CCO)C[C@H](O)CO)c[nH]c12,8,base,pKAH1,7.14,chembl,LNNMXGVBXFJDJN-VIFPVBQESA-N,7.881780276027372,8.143800352988407
473,C6H11NO,tertiary,CN1CC=C[C@H](O)C1,1,base,pKAH1,8.66,chembl,GLDHZKQYHDFALD-LURJTMIESA-N,8.961136497859142,9.12433904924279
474,C9H19N3O,secondary,CC(C)NC(=O)CN1CCNCC1,10,base,pKAH1,8.92,chembl,FFOHTSTWXWJGQR-UHFFFAOYSA-N,9.721192754772941,9.893293377092219
495,C11H17N3,tertiary,CN1CCN(c2cccc(N)c2)CC1,1,base,pKAH1,8.0,chembl,RJGHJWKQCJAJEP-UHFFFAOYSA-N,8.724735381923896,8.658475741368035
504,C9H10N2O2,primary,N[C@@H]1Cc2ccccc2N(O)C1=O,0,base,pKAH1,7.39,chembl,HYTRYTZFJVVZAF-SSDOTTSWSA-N,7.816370927606068,8.629722703809824
539,C10H20N2O2,primary,CCCCOC(=O)N1CCC(N)CC1,11,base,pKAH1,9.98,chembl,HMDBMDJJDOEYHK-UHFFFAOYSA-N,10.124297788116909,10.086840077109924
588,C8H13N5,secondary,CCn1nnc(C2=CCCNC2)n1,10,base,pKAH1,8.85,chembl,KWCDFRUNFDIIQT-UHFFFAOYSA-N,8.543917071561186,8.744383260062039
604,C8H16N2,primary,CN1[C@@H]2CC[C@H]1C[C@@H](N)C2,8,base,pKAH1,10.33,chembl,HJGMRAKQWLKWMH-RNLVFQAGSA-N,9.966275118188332,9.97007131346231
613,C5H14N2O,primary,NCCCNCCO,4,base,pKAH1,10.07,chembl,GHKSKVKCKMGRDU-UHFFFAOYSA-N,10.180606775479424,10.141869611013803
621,C9H11NO,secondary,Oc1cccc2c1CCNC2,9,base,pKAH1,8.53,chembl,OMZHCCXUVSEGAD-UHFFFAOYSA-N,9.019559966264328,9.17820398233921
624,C12H19NO3,tertiary,CO/C(O)=C1/C(=O)CCC2CCCC1N2C,14,base,pKAH1,8.95,chembl,IKTURBPPBUKHMG-VAWYXSNFSA-N,8.622612224350881,8.694702665877543
