ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key
64,C13H19NO3,primary,COc1cc2c(cc1O)CCC(C)(CCN)O2,15,base,pKAH1,9.81,chembl,LYRNFOXBTQIJSJ-UHFFFAOYSA-N
67,C12H13N,primary,CC(N)c1cccc2ccccc12,2,base,pKAH1,9.68,chembl,RTCUCQWIICFPOD-UHFFFAOYSA-N
70,C13H20N2,primary,NC1CCN(CCc2ccccc2)CC1,0,base,pKAH1,10.15,chembl,BCEKLYJIVXGPLQ-UHFFFAOYSA-N
83,C11H14N2O,primary,COc1ccc2c(CCN)c[nH]c2c1,9,base,pKAH1,9.74,chembl,VOCGEKMEZOPDFP-UHFFFAOYSA-N
84,C13H21N3O2,tertiary,O=C1CCCN1C1CC(CCN2CCCC2)=NO1,11,base,pKAH1,9.34,chembl,RNEKDQXWBNJZMH-UHFFFAOYSA-N
96,C8H17N,primary,C[C@H](N)C1CCCCC1,2,base,pKAH1,10.46,chembl,XBWOPGDJMAJJDG-ZETCQYMHSA-N
101,C9H18N2O2,tertiary,CCOC(=O)CN1CCN(C)CC1,6,base,pKAH1,7.39,chembl,QETJQVJIERQYIQ-UHFFFAOYSA-N
106,C13H15NO2,tertiary,O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,15,base,pKAH1,9.5,chembl,SWZMSZQQJRKFBP-WZRBSPASSA-N
108,C13H15N3O2,secondary,N#Cc1ccc(C(=O)N2CC3CNCC(C3)C2)o1,12,base,pKAH1,10.26,chembl,VTZZSDWXGJOEAU-UHFFFAOYSA-N
109,C12H18N2O,tertiary,CC(C)N1CCC(Oc2cccnc2)C1,3,base,pKAH1,8.87,chembl,QAHVCSGRTAMUOX-UHFFFAOYSA-N
110,C6H15NO,primary,CC(C)C[C@H](N)CO,5,base,pKAH1,9.83,chembl,VPSSPAXIFBTOHY-LURJTMIESA-N
116,C13H16N2,secondary,c1ccc2c(C3CCNCC3)c[nH]c2c1,8,base,pKAH1,10.04,chembl,KAIRZPVWWIMPFT-UHFFFAOYSA-N
128,C11H14N2O,secondary,O=c1cccccc1N1CCNCC1,11,base,pKAH1,8.83,chembl,JJCBLOHTHPMUNB-UHFFFAOYSA-N
137,C12H17N3O3,primary,NC[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,0,base,pKAH1,8.39,chembl,QXDQIONFEUSGQV-UWVGGRQHSA-N
144,C13H21N3O2,tertiary,CCCCN(CCO)CCC(=O)c1cnccn1,4,base,pKAH1,8.45,chembl,WQXRWWQZZFKINP-UHFFFAOYSA-N
148,C10H13N3,secondary,c1cncc(N2C[C@H]3C[C@@H]2CN3)c1,11,base,pKAH1,9.67,chembl,ZGHKBXCWIZHPBZ-PSASIEDQSA-N
152,C11H13N3O,primary,NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,4,base,pKAH1,7.97,chembl,JLSKPBDKNIXMBS-VIFPVBQESA-N
161,C9H12N2O,primary,NC(=O)C(N)Cc1ccccc1,4,base,pKAH1,8.02,chembl,OBSIQMZKFXFYLV-UHFFFAOYSA-N
193,C11H17NO2,primary,COc1ccc(OC)c(CC(C)N)c1,12,base,pKAH1,9.91,chembl,LATVFYDIBMDBSY-UHFFFAOYSA-N
202,C11H14N2O,secondary,CNCCc1c[nH]c2ccc(O)cc12,1,base,pKAH1,10.44,chembl,ASUSBMNYRHGZIG-UHFFFAOYSA-N
205,C4H10N2O,primary,NCCC(=O)CN,0,base,pKAH1,9.67,chembl,ODANWMOQWMHGCY-UHFFFAOYSA-N
250,C9H13NO2,primary,COc1ccccc1C(O)CN,11,base,pKAH1,9.06,chembl,ILFKFOKAPPGUOP-UHFFFAOYSA-N
257,C9H13N3O,tertiary,Cc1noc(C23CCN(CC2)C3)n1,8,base,pKAH1,8.49,chembl,NHUBSAODMUQWLR-UHFFFAOYSA-N
260,C10H14N2O,secondary,Cc1cncc(OC[C@@H]2CCN2)c1,11,base,pKAH1,9.79,chembl,DEFPVUIYITVQJX-VIFPVBQESA-N
274,C12H16N4O,primary,CC(CCN)c1nc2c(C(N)=O)cccc2[nH]1,4,base,pKAH1,10.01,chembl,MKNKKIXKJWXBHM-UHFFFAOYSA-N
275,C12H18N2O,tertiary,Cc1cncc(OC[C@@H]2CCCN2C)c1,12,base,pKAH1,8.75,chembl,MEIQBWLEAFDUMI-NSHDSACASA-N
290,C10H16N2O,secondary,C[C@H]1C[C@@H]1C(=O)N1CC2CC(C1)N2,12,base,pKAH1,9.13,chembl,INYNWEUTASDACG-KRTGUUSXSA-N
291,C13H20N4O,tertiary,CN1CCN(c2nc3c(c(=O)[nH]2)CCCC3)CC1,1,base,pKAH1,7.42,chembl,SQCWABLHLAOJBR-UHFFFAOYSA-N
310,C12H18N2,tertiary,CN(C)CCC1CNc2ccccc21,1,base,pKAH1,9.61,chembl,QJONJVMVPXLFKY-UHFFFAOYSA-N
324,C13H23N5,tertiary,CCCCNc1nccc(N2CCN(C)CC2)n1,4,base,pKAH1,7.57,chembl,QLBSQTJGCWXOKH-UHFFFAOYSA-N
325,C12H12N4O,primary,Cn1cc(-c2noc(CN)n2)c2ccccc21,9,base,pKAH1,6.9,chembl,HGUPNPBJRNMJIH-UHFFFAOYSA-N
338,C11H20N2O3,primary,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1C(=O)O,5,base,pKAH1,8.43,chembl,VTJUNIYRYIAIHF-IUCAKERBSA-N
339,C10H13NO,primary,C=C(CN)c1cccc(OC)c1,3,base,pKAH1,9.17,chembl,URPZVARDAICSOI-UHFFFAOYSA-N
345,C10H14N2O,primary,C[C@@H](N)C(=O)NCc1ccccc1,2,base,pKAH1,8.39,chembl,VRHPVAHXPQMOJZ-MRVPVSSYSA-N
348,C7H15NO2,tertiary,CC1OCC(CN(C)C)O1,6,base,pKAH1,8.51,chembl,KHUCQBZVGWVHNJ-UHFFFAOYSA-N
355,C13H15N7,tertiary,CN1CCN(c2nc3ncccc3n3cnnc23)CC1,1,base,pKAH1,7.42,chembl,YVRBEXPZVHWNLE-UHFFFAOYSA-N
357,C11H18N2O,secondary,O=C(C1CCCC1)N1CC2CC(C1)N2,13,base,pKAH1,9.13,chembl,JWEOQIUDCVEFPL-UHFFFAOYSA-N
368,C11H11N3O2,secondary,Oc1nc2ccc3c(c2nc1O)CCNC3,14,base,pKAH1,8.86,chembl,SIAMYJHXBZULSQ-UHFFFAOYSA-N
376,C12H25NO5,secondary,C1COCCOCCOCCOCCOCCN1,17,base,pKAH1,9.08,chembl,NBXKUSNBCPPKRA-UHFFFAOYSA-N
395,C11H14N4,secondary,c1ccc2[nH]c(N3CCNCC3)nc2c1,9,base,pKAH1,8.84,chembl,NZXGDKLTTHIYTB-UHFFFAOYSA-N
398,C8H17N3O2,secondary,NC(=O)C(CCO)N1CCNCC1,10,base,pKAH1,8.92,chembl,MTMLZDTYEUFDOY-UHFFFAOYSA-N
405,C11H15N3O,primary,NCc1ccc(N2CCNC(=O)C2)cc1,0,base,pKAH1,9.41,chembl,HHTYQKRMCZUXLU-UHFFFAOYSA-N
407,C9H13N,secondary,CNCCc1ccccc1,1,base,pKAH1,10.13,chembl,SASNBVQSOZSTPD-UHFFFAOYSA-N
418,C9H14N2O,secondary,CNCCOc1ccc(C)nc1,1,base,pKAH1,9.48,chembl,KBXQNMZLSJVCHO-UHFFFAOYSA-N
431,C12H19NO3,secondary,CNCCc1cc(OC)c(OC)c(OC)c1,1,base,pKAH1,10.03,chembl,OTXANOLOOUNVSR-UHFFFAOYSA-N
442,C10H13NO3,primary,COc1c(CCN)ccc2c1OCO2,6,base,pKAH1,9.71,chembl,AXEJSBWWIHAWJM-UHFFFAOYSA-N
