ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key,predicted_pka_value,linear_predicted_pka
40844,C13H16N2,secondary,Cc1c2n(c3ccccc13)CCNCC2,12,base,pKAH1,9.53,chembl,KLYUGHYJPCVJLA-UHFFFAOYSA-N,9.083145502725559,9.09448482573037
20012,C8H11NO2,primary,COc1cc(CN)ccc1O,6,base,pKAH1,9.11,chembl,WRPWWVNUCXQDQV-UHFFFAOYSA-N,9.457211457099797,9.52561452058607
27773,C11H21N,secondary,CN[C@@H]1C2(C)CCC(C2)C1(C)C,1,base,pKAH1,10.69,chembl,TUBMCSVBLIVDLY-YUCVTWSNSA-N,10.089558598303565,10.254426182920099
15989,C9H14N4O4,primary,N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CO)C(=O)O,0,base,pKAH1,7.82,chembl,KRBMQYPTDYSENE-BQBZGAKWSA-N,7.991275267018044,7.836049846449562
1252,C12H21N5,primary,NCCNc1nccc(N2CCCCCC2)n1,0,base,pKAH1,9.61,chembl,JCUKFHHQQDCCBU-UHFFFAOYSA-N,9.99076362183934,10.140560038305173
5573,C8H13N3O,tertiary,Cc1noc(C2CCN(C)C2)n1,8,base,pKAH1,8.33,chembl,GFEPBOWKWNAPQC-UHFFFAOYSA-N,8.499396249365574,8.421684656320823
60647,C12H27NO2,primary,CCCCCCCCC[C@@H](O)[C@@H](N)CO,12,base,pKAH1,9.29,chembl,VXQKRERKPNSAKY-NWDGAFQWSA-N,9.543343526782843,9.624886032696446
18876,C12H28N2O3,primary,CC(N)COCC(C)OCC(C)OCC(C)N,16,base,pKAH1,9.99,chembl,WTFAGPBUAGFMQX-UHFFFAOYSA-N,10.080086574301935,10.24350920218519
3517,C12H19N3O2,secondary,COc1cc(N2CCCNCC2)cnc1OC,9,base,pKAH1,9.64,chembl,LUAQATCGUQIPIE-UHFFFAOYSA-N,9.12034197279524,9.137355615235066
69316,C9H14N2O,tertiary,CO/N=C\C1=CC2CCN(C1)C2,9,base,pKAH1,8.17,chembl,WZDWXQWTPXGRKF-YHYXMXQVSA-N,8.64127030420558,8.585201590315618
67048,C9H15N3,secondary,CCNC1CCc2n[nH]cc2C1,2,base,pKAH1,10.17,chembl,DDFOVLJCDZCIIF-UHFFFAOYSA-N,10.11918523446253,10.288572360773099
