ID,Formula,SMILES,CAS,Set,InChI Key,expt_value,random_Forest_predicted_pka_value,RF_Error,linear_predicted_pka,LFER_Error,Delta_Error
PA,C3H9N,CCCN,107-10-8,Benchmark,WGYKZJWCGVVSQN-UHFFFAOYSA-N,10.6,10.17393201,0.426067993,10.35167075,0.248329249,0.177738743
6AH,C6H15NO,C(CCCO)CCN,4048-33-3,Benchmark,SUTWPJHCRAITLU-UHFFFAOYSA-N,10.59,10.42561401,0.164385988,10.64174683,0.051746831,0.112639158
4PIPM,C6H13NO,C1CNCCC1CO,6457-49-4,Benchmark,XBXHCBLBYQEYTI-UHFFFAOYSA-N,10.56,10.39974845,0.160251551,10.61193548,0.051935478,0.108316072
PD,C3H10N2,C(CN)CN,109-76-2,Benchmark,XFNJVJPLKCPIBV-UHFFFAOYSA-N,10.55,10.20235556,0.347644435,10.38443032,0.16556968,0.182074756
5AP,C5H13NO,C(CCN)CCO,2508-29-4,Benchmark,LQGKDMHENBFVRC-UHFFFAOYSA-N,10.47,10.42085736,0.049142641,10.63626455,0.166264551,-0.11712191
4IPB,C7H17NO,CC(C)NCCCCO,42042-71-7,Benchmark,IPLWOCGPIGUXOR-UHFFFAOYSA-N,10.45,9.910424237,0.539575763,10.04796488,0.402035116,0.137540648
TBA,C4H11N,CC(C)(C)N,75-64-9,Benchmark,YBRBMKDOPFTVDT-UHFFFAOYSA-N,10.43,10.16136825,0.268631748,10.33719039,0.092809605,0.175822143
2PIPE,C7H13NO,C1CCNC(C1)CCO,1484-84-0,Benchmark,PTHDBHDZSMGHKF-UHFFFAOYSA-N,10.42,9.941496581,0.478503419,10.08377731,0.336222687,0.142280732
DEAB,C8H19NO,CCN(CC)CCC(C)O,5467-48-1,Benchmark,QUDBKQDNUJKSAM-UHFFFAOYSA-N,10.35,9.815680553,0.534319447,9.938768057,0.411231943,0.123087504
IPAP,C6H15NO,CC(C)NCCCO,33918-15-9,Benchmark,GZCPWFOPXIDRDP-UHFFFAOYSA-N,10.35,9.934568183,0.415431817,10.07579199,0.274208012,0.141223805
DMA2M1P,C6H15NO,CC(C)(CO)N(C)C,7005-47-2,Benchmark,XRIBIDPMFSLGFS-UHFFFAOYSA-N ,10.34,9.257162744,1.082837256,9.295048388,1.044951612,0.037885644
4AB,C4H11NO,C(CCO)CN,13325-10-5,Benchmark,BLFRQYKZFKYQLO-UHFFFAOYSA-N,10.32,10.26667319,0.053326811,10.4585596,0.138559595,-0.085232784
3DEA1P,C7H17NO,CCN(CC)CCCO,622-93-5,Benchmark,WKCYFSZDBICRKL-UHFFFAOYSA-N,10.29,9.481459966,0.808540034,9.553562138,0.736437862,0.072102172
1DEA2P,C7H17NO,CCN(CC)CC(C)O,4402-32-8,Benchmark,BHUXAQIVYLDUQV-UHFFFAOYSA-N,10.18,9.444898321,0.735101679,9.511423017,0.668576983,0.066524695
DEAEEO,C8H19NO2,CCN(CC)CCOCCO,140-82-9,Benchmark,VKBVRNHODPFVHK-UHFFFAOYSA-N,10.15,8.646351475,1.503648525,8.591057894,1.558942106,-0.055293582
2PIPM,C6H13NO,C1CCNC(C1)CO,3433-37-2,Benchmark,PRAYXGYYVXRDDW-UHFFFAOYSA-N,10.12,9.768076801,0.351923199,9.883902356,0.236097644,0.115825554
3QCD,C7H13NO,C1CN2CCC1C(C2)O,1619-34-7,Benchmark,IVLICPVPXWEGCA-UHFFFAOYSA-N,10.1,9.582722477,0.517277523,9.67027224,0.42972776,0.087549763
nCHEA,C8H17NO,C1CCC(CC1)NCCO,2842-38-8,Benchmark,MGUMZJAQENFQKN-UHFFFAOYSA-N,10.1,9.777274238,0.322725762,9.894502861,0.205497139,0.117228623
nCPnEA,C7H13NO,C1CCC(C1)NCCO,2842-39-9,Benchmark,DWEWXGZAFBYSSR-UHFFFAOYSA-N,10.1,9.829946449,0.270053551,9.955210215,0.144789785,0.125263766
3PIPM,C6H13NO,C1CC(CNC1)CO,4606-65-9,Benchmark,VUNPWIPIOOMCPT-UHFFFAOYSA-N,10.05,10.28723363,0.237233632,10.48225653,0.432256531,-0.1950229
TBAE,C6H15NO,CC(C)(C)NCCO,4620-70-6,Benchmark,IUXYVKZUDNLISR-UHFFFAOYSA-N,10.04,9.483062431,0.556937569,9.555409059,0.484590941,0.072346628
DMEDA,C4H12N2,CNCCNC,110-70-3,Benchmark,KVKFRMCSXWQSNT-UHFFFAOYSA-N,10.03,10.17964961,0.149649612,10.35826058,0.328260575,-0.178610964
DMAH,C8H19NO,CN(C)CCCCCCO,1862-07-3,Benchmark,QCXNXRUTKSIZND-UHFFFAOYSA-N,10.01,9.512244577,0.497755423,9.58904294,0.42095706,0.076798363
IBAE,C6H15NO,CC(C)CNCCO,17091-40-6,Benchmark,VJWZYGQIJWDACM-UHFFFAOYSA-N,10.01,9.908295961,0.101704039,10.04551194,0.03551194,0.066192099
EAE,C4H11NO,CCNCCO,110-73-6,Benchmark,MIJDSYMOBYNHOT-UHFFFAOYSA-N,10,9.621225865,0.378774135,9.714649317,0.285350683,0.093423452
EAMP,C6H15NO,CCNC(C)(C)CO,82922-13-2,Benchmark,CPEPOQRXWWGDCU-UHFFFAOYSA-N,10,9.771710774,0.228289226,9.88809069,0.11190931,0.116379917
3AP,C3H9NO,C(CN)CO,156-87-6,Benchmark,WUGQZFFCHPXWKQ-UHFFFAOYSA-N,9.96,9.878233569,0.081766431,10.01086353,0.050863532,0.030902899
DETA,C4H13N3,C(CNCCN)N,111-40-0,Benchmark,RPNUMPOLZDHAAY-UHFFFAOYSA-N,9.94,9.92649549,0.01350451,10.06648781,0.126487806,-0.112983296
BAE,C6H15NO,CCCCNCCO,111-75-1,Benchmark,LJDSTRZHPWMDPG-UHFFFAOYSA-N,9.9,9.699071134,0.200928866,9.804369877,0.095630123,0.105298744
EDA,C2H8N2,NCCN,107-15-3,Benchmark,PIICEJLVQHRZGT-UHFFFAOYSA-N,9.9,10.14149498,0.241494979,10.31428546,0.414285456,-0.172790477
1M2PPE,C8H17NO,CN1CCCCC1CCO,533-15-3,Benchmark,OVMRRCXDBKEQIU-UHFFFAOYSA-N,9.89,9.646382206,0.243617794,9.743643257,0.146356743,0.097261051
3MORP,C7H16N2O,C1COCCN1CCCN,123-00-2,Benchmark,UIKUBYKUYUSRSM-UHFFFAOYSA-N,9.89,9.121230603,0.768769397,9.138379806,0.751620194,0.017149203
MAPA,C4H12N2,CNCCCN,6291-84-5,Benchmark,QHJABUZHRJTCAR-UHFFFAOYSA-N,9.89,10.31110679,0.421106794,10.50977154,0.619771543,-0.198664749
PAE,C5H13NO,CCCNCCO,16369-21-4,Benchmark,BCLSJHWBDUYDTR-UHFFFAOYSA-N,9.89,9.698826747,0.191173253,9.80408821,0.08591179,0.105261463
MAE,C3H9NO,CNCCO,109-83-1,Benchmark,OPKOKAMJFNKNAS-UHFFFAOYSA-N,9.85,9.559204138,0.290795862,9.643166179,0.206833821,0.083962041
